ds,unique_id,y,label,type,predicted_nii
2026-06-06,SWR_RAD_GAMMA,0.1367259294645869,Normal Baseline,Baseline Forecast,19.028
2026-06-06,SWR_MAG_FIELD,45.024836835945486,Normal Baseline,Baseline Forecast,19.028
2026-06-06,SWR_RAD_GAMMA_CPM,0.13290029048907515,Normal Baseline,Baseline Forecast,19.028
2026-06-06,SWR_THERMAL,0.03671816175598814,Normal Baseline,Baseline Forecast,19.028
2026-06-06,SWR_EM_1_6GHZ,-100.05503773059728,Normal Baseline,Baseline Forecast,19.028
2026-06-06,SWR_EM_1_6GHZ_FREQ,-99.93590945780569,Normal Baseline,Baseline Forecast,19.028
2026-06-06,SWR_GPS_ALT,1550.0686074108114,Normal Baseline,Baseline Forecast,19.028
2026-06-06,SWR_GPS_TIMING_ERROR,1550.0438684905043,Normal Baseline,Baseline Forecast,19.028
2026-06-06,SWR_EM_832MHZ,-99.96332366670043,Normal Baseline,Baseline Forecast,19.028
2026-06-06,SWR_AVIATION_BOUNCE,0.06510986908162868,Normal Baseline,Baseline Forecast,19.028
2026-06-07,SWR_RAD_GAMMA,0.09055896227418432,Normal Baseline,Baseline Forecast,19.043000000000003
2026-06-07,SWR_MAG_FIELD,45.00652629590932,Normal Baseline,Baseline Forecast,19.043000000000003
2026-06-07,SWR_RAD_GAMMA_CPM,0.1992459671582476,Normal Baseline,Baseline Forecast,19.043000000000003
2026-06-07,SWR_THERMAL,-0.09167370800232656,Normal Baseline,Baseline Forecast,19.043000000000003
2026-06-07,SWR_EM_1_6GHZ,-100.15309284932707,Normal Baseline,Baseline Forecast,19.043000000000003
2026-06-07,SWR_EM_1_6GHZ_FREQ,-99.92812687230071,Normal Baseline,Baseline Forecast,19.043000000000003
2026-06-07,SWR_GPS_ALT,1549.9614099823973,Normal Baseline,Baseline Forecast,19.043000000000003
2026-06-07,SWR_GPS_TIMING_ERROR,1549.9116378202118,Normal Baseline,Baseline Forecast,19.043000000000003
2026-06-07,SWR_EM_832MHZ,-99.96243893618019,Normal Baseline,Baseline Forecast,19.043000000000003
2026-06-07,SWR_AVIATION_BOUNCE,0.014495384227173719,Normal Baseline,Baseline Forecast,19.043000000000003
2026-06-08,SWR_RAD_GAMMA,0.13949656058637516,Normal Baseline,Baseline Forecast,18.59950000000001
2026-06-08,SWR_MAG_FIELD,44.947336328076965,Normal Baseline,Baseline Forecast,18.59950000000001
2026-06-08,SWR_RAD_GAMMA_CPM,0.10468842592299879,Normal Baseline,Baseline Forecast,18.59950000000001
2026-06-08,SWR_THERMAL,-0.03483496145825287,Normal Baseline,Baseline Forecast,18.59950000000001
2026-06-08,SWR_EM_1_6GHZ,-100.03423643208662,Normal Baseline,Baseline Forecast,18.59950000000001
2026-06-08,SWR_EM_1_6GHZ_FREQ,-99.9614215333155,Normal Baseline,Baseline Forecast,18.59950000000001
