ds,unique_id,y,label,type,nii
2026-06-06,SWR_RAD_GAMMA,0.9838805024592531,Predicted Gamma Burst (NII: 19.87),NII-Triggered Anomaly,19.869809494928802
2026-06-06,SWR_MAG_FIELD,97.5,Nexus Instability Event (NII: 19.87),NII-Triggered Anomaly,19.869809494928802
2026-06-06,SWR_RAD_GAMMA_CPM,1.9212475083481038,Predicted Gamma Burst (NII: 19.87),NII-Triggered Anomaly,19.869809494928802
2026-06-06,SWR_THERMAL,-6.75,Nexus Instability Event (NII: 19.87),NII-Triggered Anomaly,19.869809494928802
2026-06-06,SWR_EM_1_6GHZ,-41.1666681818317,Predicted RF Emission (NII: 19.87),NII-Triggered Anomaly,19.869809494928802
2026-06-06,SWR_EM_1_6GHZ_FREQ,-49.081620587832106,Predicted RF Emission (NII: 19.87),NII-Triggered Anomaly,19.869809494928802
2026-06-06,SWR_GPS_ALT,-159.54438876433264,Predicted GPS Collapse (NII: 19.87),NII-Triggered Anomaly,19.869809494928802
2026-06-06,SWR_GPS_TIMING_ERROR,0.375,Nexus Instability Event (NII: 19.87),NII-Triggered Anomaly,19.869809494928802
2026-06-06,SWR_EM_832MHZ,-30.0,Nexus Instability Event (NII: 19.87),NII-Triggered Anomaly,19.869809494928802
2026-06-06,SWR_AVIATION_BOUNCE,7500.0,Nexus Instability Event (NII: 19.87),NII-Triggered Anomaly,19.869809494928802
2026-06-07,SWR_RAD_GAMMA,1.51336356864585,Normal Baseline,Baseline Forecast,18.61652370248636
2026-06-07,SWR_MAG_FIELD,64.95725271223067,Normal Baseline,Baseline Forecast,18.61652370248636
2026-06-07,SWR_RAD_GAMMA_CPM,693.645688538695,Normal Baseline,Baseline Forecast,18.61652370248636
2026-06-07,SWR_THERMAL,-4.476804861359302,Normal Baseline,Baseline Forecast,18.61652370248636
2026-06-07,SWR_EM_1_6GHZ,-34.696695507977154,Normal Baseline,Baseline Forecast,18.61652370248636
2026-06-07,SWR_EM_1_6GHZ_FREQ,1614.698624327242,Normal Baseline,Baseline Forecast,18.61652370248636
2026-06-07,SWR_GPS_ALT,-220.27421241399156,Normal Baseline,Baseline Forecast,18.61652370248636
2026-06-07,SWR_GPS_TIMING_ERROR,0.2491521543664395,Normal Baseline,Baseline Forecast,18.61652370248636
2026-06-07,SWR_EM_832MHZ,-19.940493846616228,Normal Baseline,Baseline Forecast,18.61652370248636
2026-06-07,SWR_AVIATION_BOUNCE,5037.851041873585,Normal Baseline,Baseline Forecast,18.61652370248636
2026-06-08,SWR_RAD_GAMMA,1.4972749312216516,Normal Baseline,Baseline Forecast,18.15088951623843
2026-06-08,SWR_MAG_FIELD,65.07831237513862,Normal Baseline,Baseline Forecast,18.15088951623843
2026-06-08,SWR_RAD_GAMMA_CPM,693.803892175351,Normal Baseline,Baseline Forecast,18.15088951623843
2026-06-08,SWR_THERMAL,-4.4887497536270455,Normal Baseline,Baseline Forecast,18.15088951623843
2026-06-08,SWR_EM_1_6GHZ,-34.73060606718187,Normal Baseline,Baseline Forecast,18.15088951623843
2026-06-08,SWR_EM_1_6GHZ_FREQ,1595.2554316974692,Normal Baseline,Baseline Forecast,18.15088951623843
2026-06-08,SWR_GPS_ALT,-218.42516960727676,Normal Baseline,Baseline Forecast,18.15088951623843
2026-06-08,SWR_GPS_TIMING_ERROR,0.24928825206771785,Normal Baseline,Baseline Forecast,18.15088951623843
2026-06-08,SWR_EM_832MHZ,-19.98725658501079,Normal Baseline,Baseline Forecast,18.15088951623843
2026-06-08,SWR_AVIATION_BOUNCE,4966.257106179065,Normal Baseline,Baseline Forecast,18.15088951623843
2026-06-09,SWR_RAD_GAMMA,1.5489958096343552,Normal Baseline,Baseline Forecast,17.009542364845338
2026-06-09,SWR_MAG_FIELD,64.8646782734743,Normal Baseline,Baseline Forecast,17.009542364845338
2026-06-09,SWR_RAD_GAMMA_CPM,693.1830333913491,Normal Baseline,Baseline Forecast,17.009542364845338
2026-06-09,SWR_THERMAL,-4.512564367455903,Normal Baseline,Baseline Forecast,17.009542364845338
2026-06-09,SWR_EM_1_6GHZ,-35.166863607527695,Normal Baseline,Baseline Forecast,17.009542364845338
2026-06-09,SWR_EM_1_6GHZ_FREQ,1621.7468870212745,Normal Baseline,Baseline Forecast,17.009542364845338
2026-06-09,SWR_GPS_ALT,-222.4277004269274,Normal Baseline,Baseline Forecast,17.009542364845338
2026-06-09,SWR_GPS_TIMING_ERROR,0.250348616631219,Normal Baseline,Baseline Forecast,17.009542364845338
2026-06-09,SWR_EM_832MHZ,-19.995251178301427,Normal Baseline,Baseline Forecast,17.009542364845338
2026-06-09,SWR_AVIATION_BOUNCE,4940.761291384166,Normal Baseline,Baseline Forecast,17.009542364845338
2026-06-10,SWR_RAD_GAMMA,1.5075381521700981,Normal Baseline,Baseline Forecast,17.858833233232094
2026-06-10,SWR_MAG_FIELD,66.5213966273832,Normal Baseline,Baseline Forecast,17.858833233232094
2026-06-10,SWR_RAD_GAMMA_CPM,693.9649203885496,Normal Baseline,Baseline Forecast,17.858833233232094
